person,job,label,theme,text,date,lemmatized_text
בנימין נתניהו,ראש הממשלה הליכוד,3,על ההכרזה על חברון העתיקה כאתר מורשת עולמי,"ביולי אונסקו הכריז על מערת המכפלה בחברון אתר מורשת עולמי פלסטיני. זה גרוע מפייק-ניוז, זאת היסטוריה מזויפת",2017-09-19,"ביול אונסק""ו הכריז על מערה ה מכפלה ב חברון אתר מורש עולמי פלסטיני . זה גרוע מ פייק ניוז , זאת היסטוריה זויף"
נפתלי בנט,"יו""ר ימינה ימינה",3,"על סמכות בג""ץ להתערב בחוקי יסוד","בשבועות האחרונים הוא [בגץ] בא ואומר, גם את חוקי היסוד עצמם אנחנו יכולים לשנות מעת לעת [...] זה דבר לא מתקבל על הדעת, שקיים רק בשתי מדינות בכל עולם, בהודו ובבנגלדש",2017-09-18,"ב ה שבוע ה אחרון הוא ב גץ בא ו אמר , גם את חוק ה יסוד עצמו הוא יכול שנה מעה ל עת ... זה דבר לא התקבל על ה דעת , ש קיים רק ב שתיים מדינה ב כול עולם , ב הוד ו ב בנגלדש"
נפתלי בנט,"יו""ר ימינה ימינה",1,"על סמכותו של ביהמ""ש העליון לפסול חוקים",אנחנו מסדירים למעשה דבר שקורה כיום בלי סמכות מפורשת. לא כתוב בשום חוק שלבגץ מותר לפסול חוקים,2017-09-17,הוא הסדיר ל מעשה דבר ש קרה כיום בלי סמכות מפורש . לא כתב ב שום חוק ש ל בגץ מותר פסל חוק
דוד ביטן,חבר כנסת הליכוד,1,על הסמכות של בתי משפט בערכאות נמוכות לבטל חוקים,פה גם בית משפט שלום יכול לבטל חוק,2017-09-16,פה גם בית משפט ש לום יכול ביטל חוק
מנחם אליעזר מוזס,חבר כנסת יהדות התורה,4,על הליך מינוי שופטים לבית המשפט העליון,"באו חברים, בני אדם, שחבר מביא חבר, שלא נבחרו, ומחליטים להתלבש על הכנסת",2017-09-14,"ב ה או חבר , בן אדם , ש חיבר הביא חבר , ש לא נבחר , ו החליט התלבש על הכנסה"
מנחם אליעזר מוזס,חבר כנסת יהדות התורה,4,על השאלה אם מספר המתגייסים החרדים ירד בגלל חוק הגיוס,"שמעתי מקודם את אלי ישי, שאומר כמה אלפים משרתים כבר היום בכל מיני מסגרות בצבא, ודווקא בתקופת לפיד אז המספר ירד",2017-09-13,"ש מעה קודם את אל יש , ש אמר כמה אלף משרת כבר היום ב כול מין מסגרות ב ה צבא , ו דווקא ב תקופה לפיד אז ה מספר ירד"
מוטי יוגב,חבר כנסת הבית היהודי,5,על סמכות בית המשפט העליון לבטל חקיקה,אין מדינה דמוקרטית בעולם בה בית משפט עליון יכול לבטל חקיקה של הכנסת,2017-09-13,אין מדינה דמוקרטי ב ה עולם ב היא בית משפט עליון יכול ביטל חקיקה של הכנסה
מאיר פרוש,סגן שר החינוך יהדות התורה,2,"על פסיקת בג""ץ לביטול חוק הגיוס","ילד חריג אוטיסט, כן? חרדי, לומד במוסד פטור, חוק חינוך מיוחד של המדינה לא חל עליו. ראית פעם את הבגץ מתעסק בזה? הוא דואג למסתננים, לילדי המסתננים. לילדי החרדים הוא לא דואג",2017-09-13,"ילד חריג אוטיסט , כן ? חרדי , לומד ב ה מוסד פטור , חוק חינוך מיוחד של ה מדינה לא חל על הוא . ראה פעם את ה בגץ התעסק ב ה זה ? הוא דאג למסתננים , ל ילד ה הסתנן . ל ילד ה חרדי הוא לא דאג"
מאיר פרוש,סגן שר החינוך יהדות התורה,5,על דברים שאמר נגד השופט חשין,"מראיין: אני זוכר שקראת לו (לשופט חשין) חזיר. פרוש: לא אמרתי לו בדיוק ככה. בוא, תדייק",2017-09-13,"מראיין הוא זכר ש קרא ל הוא ל שופט חשין חזיר . פרוש לא אמר ל הוא בדיוק ככה . בוא , דייק"
משה פייגלין,פוליטיקאי זהות,5,על הדיון בנושא תחבורה ציבורית בשבתות וחגים,"יש לך היום טכנולוגיות שמאפשרות הקמת חברות של היסע המונים כמו אובר למשל, שלוקחות אותך מדלת לדלת בנוחות מדהימה וביעילות מדהימה, ובמחיר זול יותר מאוטובוס או רכבת",2017-09-12,"יש ל אתה היום טכנולוגיה ש אפשר הקמה חבר של היסע ה מונה כמו אובר למשל , ש לקח את אתה מ דלת ל דלת ב נוחות מדהים ו ב יעילות מדהים , ו ב ה מחיר זול יותר מ אוטובוס או רכבת"
יעקב ליצמן,שר הבריאות יהדות התורה,5,"על אחריות יעל גרמן לגירעון בבי""ח הדסה","כשאני עזבתי את סגן שר הבריאות הגירעון היה 150 מיליון שקל בהדסה, חזרתי לתפקידי אחרי שנה ושלושת רבעי, כאשר הגירעון היה מיליארד שלוש מאות",2017-09-11,"כש הוא עזב את סגן שר ה בריאות ה גרעון היה 150 מיליון שקל ב הדסה , חיזר ל תפקיד אחרי שנה ו שלושה רבע , כאשר ה גרעון היה מיליארד שלוש מ אות"
יריב לוין,שר התיירות הליכוד,5,"על פסיקת ביהמ""ש העליון בערעור נגד כליאת מבקשי מקלט","הקביעה [של ביהמש העליון] שאומרת שאדם יכול לגנוב את הגבול ולהיכנס למדינה בצורה בלתי חוקית, אבל אז אסור להוציא אותו בכפייה, זה דבר מטורף",2017-09-08,"ה קביעה של ביהמש ה עליון ש אמר ש אדם יכול גנב את ה גבול ו נכנס ל ה מדינה ב צורה בלתי חוקי , אבל אז אסר הוציא את הוא ב כפייה , זה דבר מטורף"
אבי גבאי,"יו""ר מפלגת העבודה העבודה",3,על מחיר הגז הטבעי בעולם,"לגרום לכך שאזרחי ישראל ישלמו 6 דולר עבור הגז, עבור חברת חשמל, ו-5 דולר עבור תעשייה, כשהמחיר בעולם הוא בין 2 ל-3 דולר והגז הוא אצלנו, זה פשוט שערורייה",2017-09-07,"גרם ל כך ש אזרח ישראל שילם 6 דולר עבור ה גז , עבור חברה חשמל , ו 5 דולר עבור תעשייה , כש ה מחיר ב ה עולם הוא בין 2 ל 3 דולר ו ה גז הוא אצל אנחנו , זה פשט שערורייה"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",5,"על הדיון בבג""ץ בעניין תחבורה ציבורית בשבת","ברוב מדינות אירופה ביום השבתון יש שבתון מוחלט, לרבות תחבורה ציבורית, בוודאי ובוודאי מסחר ואפילו בילוי. תלכו באירופה, בצרפת, תלכו בגרמניה. ביום השבתון אין כלום. ציפורים מצייצות ברחובות וזהו",2017-09-06,"ב רוב מדינה אירופה ב יום ה שבתון יש שבתון מוחלט , לרבות תחבורה ציבורי , בוודאי ו בוודאי מסחר ו אפילו בילוי . הלך באירופה , ב צרפת , הלך ב גרמני . ב יום ה שבתון אין כ ה לום . ציפור צייץ ב ה רחוב ו זהו"
בצלאל סמוטריץ׳,"יו""ר האיחוד הלאומי ימינה",3,על הרעיון לעידוד הגירה פלסטינית,"הסקרים שנערכים ברשות הפלסטינית, מדברים על 50% מתושבי עזה שמאוד רוצים להגר, על עשרות רבות מאוד של אחוזים מקרב צעירי יהודה ושומרון שרוצים לחפש עתיד במדינות אחרות בעולם",2017-09-06,"ה סקר ש נערך ב ה רשות ה פלסטיני , דיבר על 50 מתושבי עז ש מאוד רצה היגר , על עשר רבות מאוד של אחוז מ קרב צעיר יהודה ו שומרון ש רצה חיפש עתיד ב מדינה אחר ב ה עולם"
סתיו שפיר,"ח""כ המחנה הדמוקרטי - התנועה הירוקה",1,"בעקבות פסיקת בג""ץ בנושא תקציב המדינה הדו-שנתי","שיטת התקציב הדו-שנתי כל כך 'מוצלחת', שיש רק עוד מדינה אחת בעולם שמשתמשת בה: בחריין",2017-09-06,"שיטה ה תקציב ה דו שנתי כול כך מוצלח , ש יש רק עוד מדינה אחת ב ה עולם ש השתמש ב היא בחריין"
איילת שקד,חברת כנסת ימינה,5,"על חוקי היסוד של ישראל, על רקע תמיכתה בחוק הלאום","בישראל של 2017, מדינה שמשטרה חוקתי ומארג שתי וערב של זכויות פרט, ללא כל התייחסות בחוקי היסוד שלה להיותה מדינת הלאום של העם היהודי, הפכה הציונות לשטח מת",2017-09-06,"ב ה ישראל של 2017 , מדינה ש משטר חוקתי ו מארג שתיים ו ערב של זכות פרט , ללא כול התייחסות ב חוק ה יסוד של היא היה מדינה ה לאום של ה עם ה יהודי , היפך ה ציונות ל שטח מת"
מיקי זוהר,"יו""ר הקואליציה הליכוד",5,"על הסמכות לעצור חשודים, בעקבות החשדות נגד מקורבים לרה""מ","יש לה [למשטרה] הרבה סמכות בבית המשפט. להאריך מעצר כמעט על כלום, רק עם ראיות לכאורה ורק עם השערות [...] ואפילו לא לחשוף בפני השופט נתונים בשם טענה שמדובר בחומר חסוי. גם זה היא רשאית לעשות",2017-09-04,"יש ל היא ל ה משטרה ה רב סמכות ב בית ה משפט . האריך מעצר כמעט על כ לום , רק עם ראייה לכאורה ו רק עם ה שערה ... ו אפילו לא חשף בפני ה שופט נתן בשם טענה ש דובר ב חומר חסוי . גם זה הוא רשאי עשה"
מירי רגב,שרת התחבורה הליכוד,3,"על חוק הנכבה, המאפשר לשלול תקציב ממוסד הנתמך בידי המדינה","יש חמישה חוקים בתוך חוק התקציב שזה חוק שאין לבזות את דגל וסמלי המדינה, שאין לעשות דה-לגיטימציה כנגד חיילי צהל, שאין לחתור נגד מדינת ישראל ואז אין לתקצב אותם",2017-09-03,"יש חמישה חוק בתוך חוק ה תקציב ש זה חוק ש אין ביזה את דגל ו סמל ה מדינה , ש אין עשה דה לגיטימציה כ נגד חייל צהל , ש אין חתר נגד מדינה ישראל ו אז אין תקצב את הם"
מירי רגב,שרת התחבורה הליכוד,1,על הסמכות לשלול תקציבים ממוסדות תרבות בשל הפרת חוק הנכבה,"לצערי זה לא בסמכותה של שרת התרבות אלא של שר האוצר, כי הוא הממונה על חוק התקציב. וחוקי הנכבה נמצאים כחלק מחוק התקציב",2017-09-03,"לצערי זה לא ב סמכות של שרת ה תרבות אלא של שר ה אוצר , כי הוא ה ממונה על חוק ה תקציב . ו חוק ה נכבה נמצא כ חלק מ חוק ה תקציב"
